          1405870816,        d8:c7:c8:5e:79:71,           SUTD_GLAB,   63
          1405870816,        d8:c7:c8:5e:7a:d8,          SUTD_Guest,   68
          1405870816,        d8:c7:c8:5e:79:58,          SUTD_Guest,   77
          1405870816,        d8:c7:c8:5e:7a:c0,          SUTD_Guest,   63
          1405870816,        d8:c7:c8:5e:79:78,          SUTD_Guest,   73
          1405870816,        d8:c7:c8:5e:75:09,           SUTD_GLAB,   49
          1405870816,        d8:c7:c8:5e:75:02,          SUTD_Staff,   48
          1405870816,        d8:c7:c8:5e:75:03,        SUTD_Student,   47
          1405870816,        d8:c7:c8:5e:75:04,            SUTD_BOT,   47
          1405870816,        d8:c7:c8:5e:75:00,          SUTD_Guest,   50
          1405870816,        d8:c7:c8:5e:75:0a,          SUTD_Staff,   49
          1405870816,        d8:c7:c8:5e:75:0c,            SUTD_BOT,   49
          1405870816,        d8:c7:c8:11:84:86,           SUTD_GLAB,   83
          1405870816,        d8:c7:c8:11:84:84,            SUTD_BOT,   84
          1405870816,        d8:c7:c8:11:84:16,           SUTD_GLAB,   87
          1405870816,        d8:c7:c8:11:84:85,                    ,   83
          1405870819,        d8:c7:c8:5e:7a:dc,            SUTD_BOT,   69
          1405870819,        d8:c7:c8:5e:7a:da,          SUTD_Staff,   69
          1405870819,        d8:c7:c8:5e:7a:db,        SUTD_Student,   68
          1405870819,        d8:c7:c8:5e:7a:d9,           SUTD_GLAB,   68
          1405870819,        d8:c7:c8:5e:79:5c,            SUTD_BOT,   78
          1405870819,        d8:c7:c8:5e:79:59,           SUTD_GLAB,   77
          1405870819,        d8:c7:c8:5e:79:5a,          SUTD_Staff,   77
          1405870819,        d8:c7:c8:5e:79:5b,        SUTD_Student,   78
          1405870819,        d8:c7:c8:5e:7a:c1,           SUTD_GLAB,   62
          1405870819,        d8:c7:c8:5e:7a:c3,        SUTD_Student,   61
          1405870819,        d8:c7:c8:5e:7a:c2,          SUTD_Staff,   61
          1405870819,        d8:c7:c8:5e:7a:c4,            SUTD_BOT,   61
          1405870819,        d8:c7:c8:5e:79:51,           SUTD_GLAB,   73
          1405870819,        d8:c7:c8:5e:75:01,           SUTD_GLAB,   45
          1405870819,        d8:c7:c8:5e:79:7b,        SUTD_Student,   72
          1405870819,        d8:c7:c8:5e:79:79,           SUTD_GLAB,   73
          1405870819,        d8:c7:c8:5e:79:7a,          SUTD_Staff,   73
          1405870819,        d8:c7:c8:5e:79:7c,            SUTD_BOT,   72
          1405870819,        d8:c7:c8:5e:79:71,           SUTD_GLAB,   63
          1405870819,        d8:c7:c8:5e:7a:d8,          SUTD_Guest,   68
          1405870819,        d8:c7:c8:5e:79:58,          SUTD_Guest,   77
          1405870819,        d8:c7:c8:5e:7a:c0,          SUTD_Guest,   63
          1405870819,        d8:c7:c8:5e:79:78,          SUTD_Guest,   73
          1405870819,        d8:c7:c8:5e:75:09,           SUTD_GLAB,   49
          1405870819,        d8:c7:c8:5e:75:02,          SUTD_Staff,   48
          1405870819,        d8:c7:c8:5e:75:03,        SUTD_Student,   47
          1405870819,        d8:c7:c8:5e:75:04,            SUTD_BOT,   47
          1405870819,        d8:c7:c8:5e:75:00,          SUTD_Guest,   50
          1405870819,        d8:c7:c8:5e:75:0a,          SUTD_Staff,   49
          1405870819,        d8:c7:c8:5e:75:0c,            SUTD_BOT,   49
          1405870819,        d8:c7:c8:11:84:86,           SUTD_GLAB,   83
          1405870819,        d8:c7:c8:11:84:84,            SUTD_BOT,   84
          1405870819,        d8:c7:c8:11:84:16,           SUTD_GLAB,   87
          1405870819,        d8:c7:c8:11:84:85,                    ,   83
          1405870821,        d8:c7:c8:5e:7a:dc,            SUTD_BOT,   68
          1405870821,        d8:c7:c8:5e:7a:da,          SUTD_Staff,   68
          1405870821,        d8:c7:c8:5e:7a:db,        SUTD_Student,   68
          1405870821,        d8:c7:c8:5e:7a:d9,           SUTD_GLAB,   68
          1405870821,        d8:c7:c8:5e:79:5c,            SUTD_BOT,   76
          1405870821,        d8:c7:c8:5e:79:59,           SUTD_GLAB,   76
          1405870821,        d8:c7:c8:5e:79:5a,          SUTD_Staff,   76
          1405870821,        d8:c7:c8:5e:79:5b,        SUTD_Student,   76
          1405870821,        d8:c7:c8:5e:7a:c1,           SUTD_GLAB,   65
          1405870821,        d8:c7:c8:5e:7a:c3,        SUTD_Student,   64
          1405870821,        d8:c7:c8:5e:7a:c2,          SUTD_Staff,   65
          1405870821,        d8:c7:c8:5e:7a:c4,            SUTD_BOT,   64
          1405870821,        d8:c7:c8:5e:79:51,           SUTD_GLAB,   72
          1405870821,        d8:c7:c8:5e:79:7b,        SUTD_Student,   72
          1405870821,        d8:c7:c8:5e:79:79,           SUTD_GLAB,   72
          1405870821,        d8:c7:c8:5e:79:7a,          SUTD_Staff,   72
          1405870821,        d8:c7:c8:5e:79:7c,            SUTD_BOT,   71
          1405870821,        d8:c7:c8:5e:79:71,           SUTD_GLAB,   61
          1405870821,        d8:c7:c8:5e:7a:d8,          SUTD_Guest,   68
          1405870821,        d8:c7:c8:5e:79:58,          SUTD_Guest,   76
          1405870821,        d8:c7:c8:5e:7a:c0,          SUTD_Guest,   65
          1405870821,        d8:c7:c8:5e:79:78,          SUTD_Guest,   72
          1405870821,        d8:c7:c8:5e:75:09,           SUTD_GLAB,   51
          1405870821,        d8:c7:c8:5e:7a:d1,           SUTD_GLAB,   61
          1405870821,        d8:c7:c8:5e:7a:d3,        SUTD_Student,   62
          1405870821,        d8:c7:c8:5e:7a:d4,            SUTD_BOT,   62
          1405870821,        d8:c7:c8:5e:7a:d2,          SUTD_Staff,   62
          1405870821,        d8:c7:c8:5e:7a:cc,            SUTD_BOT,   67
          1405870821,        d8:c7:c8:5e:7a:ca,          SUTD_Staff,   67
          1405870821,        d8:c7:c8:5e:7a:c9,           SUTD_GLAB,   67
          1405870821,        d8:c7:c8:5e:7a:cb,        SUTD_Student,   67
          1405870821,        d8:c7:c8:11:86:ec,            SUTD_BOT,   86
          1405870821,        d8:c7:c8:11:86:ea,          SUTD_Staff,   86
          1405870821,        d8:c7:c8:11:86:ee,           SUTD_GLAB,   86
          1405870821,        d8:c7:c8:11:86:e9,           SUTD_ILP2,   86
          1405870821,        d8:c7:c8:11:86:eb,        SUTD_Student,   86
          1405870821,        d8:c7:c8:5e:7a:c8,          SUTD_Guest,   66
          1405870821,        d8:c7:c8:5e:7a:d0,          SUTD_Guest,   65
          1405870821,        d8:c7:c8:11:86:e8,          SUTD_Guest,   86
          1405870821,        d8:c7:c8:11:86:ed,                    ,   86
          1405870824,        d8:c7:c8:5e:7a:dc,            SUTD_BOT,   68
